Sampling_Rate,Duration,Score,Recording_Length,Error,Participant,Database,Method
250,0.728553,0.008084511944690242,2.0,None,GUDB_12,GUDB_jogging,christov2004
250,0.786185,0.0021131199824390378,2.0,None,GUDB_13,GUDB_sitting,christov2004
250,0.758891,0.003964825108358627,2.0,None,GUDB_13,GUDB_maths,christov2004
250,0.791251,0.0025741126259710956,2.0,None,GUDB_13,GUDB_walking,christov2004
250,0.761025,0.008831424728098183,2.0,None,GUDB_13,GUDB_hand_bike,christov2004
250,0.744382,0.0064592909049542195,2.0,None,GUDB_13,GUDB_jogging,christov2004
250,0.687843,0.4020156973513491,2.0,None,GUDB_14,GUDB_sitting,christov2004
250,0.787047,0.004959014646750002,2.0,None,GUDB_14,GUDB_maths,christov2004
250,0.69411,0.2824139027392195,2.0,None,GUDB_14,GUDB_walking,christov2004
250,0.677582,0.3233848720799275,2.0,None,GUDB_14,GUDB_hand_bike,christov2004
250,0.777541,0.0013208335026614513,2.0,None,GUDB_15,GUDB_sitting,christov2004
250,0.774701,0.0012928080677662632,2.0,None,GUDB_15,GUDB_maths,christov2004
250,0.757951,0.0017192894985255237,2.0,None,GUDB_15,GUDB_walking,christov2004
250,0.763463,0.0018611526943375124,2.0,None,GUDB_15,GUDB_hand_bike,christov2004
250,0.714462,0.02789918362235477,2.0,None,GUDB_15,GUDB_jogging,christov2004
250,0.801379,0.004497976186733025,2.0,None,GUDB_16,GUDB_sitting,christov2004
250,0.796998,0.0034248206679195824,2.0,None,GUDB_16,GUDB_maths,christov2004
250,0.796649,0.0025960115085326366,2.0,None,GUDB_16,GUDB_walking,christov2004
250,0.80419,0.002091441065238347,2.0,None,GUDB_16,GUDB_hand_bike,christov2004
250,0.803486,0.0026122289410578023,2.0,None,GUDB_16,GUDB_jogging,christov2004
250,0.812768,0.0040855539524220115,2.0,None,GUDB_17,GUDB_sitting,christov2004
250,1.375129,0.0043610252359685235,2.0,None,GUDB_17,GUDB_maths,christov2004
250,1.392265,0.0016699531070323978,2.0,None,GUDB_17,GUDB_walking,christov2004
250,0.765517,0.004487960281021034,2.0,None,GUDB_17,GUDB_hand_bike,christov2004
250,0.746681,0.003449626119952375,2.0,None,GUDB_17,GUDB_jogging,christov2004
250,0.776677,0.004335931808468921,2.0,None,GUDB_18,GUDB_sitting,christov2004
250,0.782435,0.004379250151869505,2.0,None,GUDB_18,GUDB_maths,christov2004
250,0.633034,0.516432086719649,2.0,None,GUDB_18,GUDB_walking,christov2004
250,0.644927,0.6018180566531176,2.0,None,GUDB_18,GUDB_hand_bike,christov2004
250,0.761651,0.013028046847014524,2.0,None,GUDB_18,GUDB_jogging,christov2004
250,0.783393,0.0029886668215913887,2.0,None,GUDB_19,GUDB_sitting,christov2004
250,0.777231,0.0012511810102161262,2.0,None,GUDB_19,GUDB_maths,christov2004
250,0.76366,0.0031976191270689995,2.0,None,GUDB_19,GUDB_walking,christov2004
250,0.745471,0.08454873014787234,2.0,None,GUDB_19,GUDB_hand_bike,christov2004
250,0.733876,0.01806070288534785,2.0,None,GUDB_19,GUDB_jogging,christov2004
250,0.767104,0.0026107634535007893,2.0,None,GUDB_20,GUDB_sitting,christov2004
250,0.779083,0.014696294846475187,2.0,None,GUDB_20,GUDB_maths,christov2004
250,0.762056,0.0067986613509541894,2.0,None,GUDB_20,GUDB_walking,christov2004
250,0.764134,0.0029609386057058667,2.0,None,GUDB_20,GUDB_hand_bike,christov2004
250,0.756828,0.006129212962424684,2.0,None,GUDB_20,GUDB_jogging,christov2004
250,0.787364,0.003509062331729982,2.0,None,GUDB_21,GUDB_sitting,christov2004
250,0.787269,0.0018917441930313625,2.0,None,GUDB_21,GUDB_maths,christov2004
250,0.80019,0.0024586963345330486,2.0,None,GUDB_21,GUDB_walking,christov2004
250,0.781369,0.006260433739846475,2.0,None,GUDB_21,GUDB_hand_bike,christov2004
250,0.750281,0.010843929107128664,2.0,None,GUDB_21,GUDB_jogging,christov2004
250,0.777544,0.0012818189650084003,2.0,None,GUDB_22,GUDB_sitting,christov2004
250,0.765518,0.001821641114302144,2.0,None,GUDB_22,GUDB_maths,christov2004
250,0.773095,0.0017181420160335072,2.0,None,GUDB_22,GUDB_walking,christov2004
250,0.75438,0.0014903217593457512,2.0,None,GUDB_22,GUDB_hand_bike,christov2004
250,0.742675,0.004728379520987684,2.0,None,GUDB_22,GUDB_jogging,christov2004
250,0.785425,0.0018410726011188878,2.0,None,GUDB_23,GUDB_sitting,christov2004
250,0.783035,0.0019839701354302216,2.0,None,GUDB_23,GUDB_maths,christov2004
250,0.767009,0.002019501267805154,2.0,None,GUDB_23,GUDB_walking,christov2004
250,0.765553,0.013852116390122704,2.0,None,GUDB_23,GUDB_hand_bike,christov2004
250,0.715562,0.0424754547729461,2.0,None,GUDB_23,GUDB_jogging,christov2004
250,0.786338,0.00948564697750777,2.0,None,GUDB_24,GUDB_sitting,christov2004
250,0.779182,0.032152336827916246,2.0,None,GUDB_24,GUDB_maths,christov2004
250,0.812,0.0035613969103495944,2.0,None,GUDB_24,GUDB_walking,christov2004
