epoch,Efficient_CapsNet_accuracy,Efficient_CapsNet_loss,Generator_loss,loss,val_Efficient_CapsNet_accuracy,val_Efficient_CapsNet_loss,val_Generator_loss,val_loss
0,0.7368831038475037,0.16855987906455994,0.43779003620147705,0.34017351269721985,0.8177851438522339,0.14829598367214203,0.40920495986938477,0.30870431661605835
1,0.889090895652771,0.08372653275728226,0.4085177481174469,0.24386551976203918,0.849366307258606,0.13089154660701752,0.4088040292263031,0.2911427617073059
2,0.9061298966407776,0.07164064794778824,0.4084746837615967,0.23176275193691254,0.8992312550544739,0.08323661237955093,0.4087449610233307,0.2434646636247635
3,0.9156363606452942,0.06464678049087524,0.40843236446380615,0.22475223243236542,0.9023478031158447,0.08110522478818893,0.4087216258049011,0.24132408201694489
4,0.9215584397315979,0.06045949086546898,0.40841934084892273,0.22055990993976593,0.9079576134681702,0.07374707609415054,0.4086592495441437,0.23394149541854858
5,0.9265454411506653,0.05670523643493652,0.40837401151657104,0.21678787469863892,0.9135674238204956,0.06647071242332458,0.4086379110813141,0.2266567498445511
6,0.930545449256897,0.05389302968978882,0.4083254933357239,0.21395665407180786,0.9154373407363892,0.06635875999927521,0.40856319665908813,0.226515531539917
7,0.9336623549461365,0.05189057067036629,0.40817442536354065,0.2118949443101883,0.9152295589447021,0.0682043582201004,0.40820395946502686,0.22822029888629913
8,0.9350649118423462,0.04976126551628113,0.40750476717948914,0.20950306951999664,0.9121130108833313,0.0704483911395073,0.4068610370159149,0.22993791103363037
9,0.9385973811149597,0.047673456370830536,0.40578365325927734,0.20674067735671997,0.9206316471099854,0.06292680650949478,0.4048498570919037,0.22162792086601257
10,0.9411428570747375,0.045353882014751434,0.40409404039382935,0.20375873148441315,0.9073343276977539,0.07097020000219345,0.40349772572517395,0.22914129495620728
11,0.9431169033050537,0.04412906989455223,0.3983801603317261,0.20029406249523163,0.9243714809417725,0.060467787086963654,0.3904624879360199,0.2135290801525116
12,0.9440000057220459,0.043028008192777634,0.3863302171230316,0.19446946680545807,0.9170995354652405,0.06451767683029175,0.3836680054664612,0.21491552889347076
13,0.9468051791191101,0.04085450619459152,0.38166123628616333,0.1904657632112503,0.9220860004425049,0.06065937131643295,0.38015446066856384,0.20967990159988403
14,0.9487792253494263,0.039655666798353195,0.3784632086753845,0.1880131959915161,0.9168917536735535,0.06387452036142349,0.37335872650146484,0.21023117005825043
15,0.9504415392875671,0.03853513300418854,0.3693509101867676,0.18332065641880035,0.9256181120872498,0.0583331435918808,0.36391279101371765,0.20098693668842316
