epoch,Efficient_CapsNet_accuracy,Efficient_CapsNet_loss,Generator_loss,loss,val_Efficient_CapsNet_accuracy,val_Efficient_CapsNet_loss,val_Generator_loss,val_loss
0,0.912900984287262,0.08789481967687607,0.41465044021606445,0.2504376471042633,0.9159404039382935,0.09747615456581116,0.39157262444496155,0.2509726583957672
1,0.9165691137313843,0.06680012494325638,0.39157918095588684,0.22029921412467957,0.9191094636917114,0.08530060946941376,0.391448050737381,0.23874829709529877
2,0.9189885258674622,0.06463827192783356,0.3913966417312622,0.21806584298610687,0.9164950251579285,0.07242487370967865,0.3908216059207916,0.22562693059444427
3,0.9197299480438232,0.06332393735647202,0.39001962542533875,0.21621160209178925,0.9197432994842529,0.06585735082626343,0.3885195255279541,0.21815702319145203
4,0.9201592206954956,0.06243331357836723,0.38831087946891785,0.21465109288692474,0.9191887378692627,0.06360451132059097,0.3877761960029602,0.21561278402805328
5,0.9201201796531677,0.06142200902104378,0.38672053813934326,0.21301637589931488,0.9193471670150757,0.06525082141160965,0.38083013892173767,0.21453626453876495
6,0.9209006428718567,0.061252493411302567,0.3373279869556427,0.1934850513935089,0.9195848703384399,0.06313905864953995,0.3017154335975647,0.1814114898443222
7,0.9214469790458679,0.06040895730257034,0.3020257353782654,0.1788029819726944,0.9201394319534302,0.06253724545240402,0.29984602332115173,0.18007686734199524
8,0.9210957884788513,0.05998785048723221,0.3006581664085388,0.1778458207845688,0.9193471670150757,0.06286381930112839,0.29861095547676086,0.1799193024635315
9,0.9223834872245789,0.059353332966566086,0.2951173186302185,0.17503932118415833,0.9199017882347107,0.06303057074546814,0.2853769361972809,0.17489832639694214
10,0.922110378742218,0.05861307680606842,0.2871796488761902,0.17118747532367706,0.9202979207038879,0.06252064555883408,0.283770889043808,0.1737588793039322
11,0.9233590960502625,0.058048591017723083,0.28582999110221863,0.17009396851062775,0.9195848703384399,0.06372244656085968,0.28227391839027405,0.1743738204240799
12,0.9226956963539124,0.05777784809470177,0.2811914086341858,0.1680048704147339,0.9189510345458984,0.06478201597929001,0.27347812056541443,0.17198546230793
13,0.923046886920929,0.056966040283441544,0.27622324228286743,0.16524554789066315,0.9202979207038879,0.06341013312339783,0.272087424993515,0.1700683981180191
14,0.9246078133583069,0.056032903492450714,0.2752695679664612,0.16393859684467316,0.9202186465263367,0.0634254589676857,0.2712283134460449,0.16974690556526184
15,0.924490749835968,0.05528547614812851,0.27459847927093506,0.16292807459831238,0.9197432994842529,0.06421579420566559,0.27070891857147217,0.17033371329307556
16,0.9248419404029846,0.05473516881465912,0.27392151951789856,0.16211239993572235,0.9202979207038879,0.06397920846939087,0.27022215723991394,0.16990625858306885
17,0.9253102540969849,0.05417230352759361,0.27352476119995117,0.16139404475688934,0.9201394319534302,0.06419004499912262,0.2698383033275604,0.1699666529893875
18,0.9264808893203735,0.052747514098882675,0.2732465863227844,0.15986019372940063,0.9184756875038147,0.06745823472738266,0.2692566514015198,0.17300686240196228
19,0.9273003935813904,0.052244968712329865,0.27282264828681946,0.15919139981269836,0.9200602173805237,0.06459137052297592,0.26916012167930603,0.1701020896434784
20,0.9279637932777405,0.05124468356370926,0.27217382192611694,0.15793681144714355,0.9201394319534302,0.06680339574813843,0.267302930355072,0.17158612608909607
21,0.9294076561927795,0.05035382881760597,0.2710757553577423,0.15661554038524628,0.9198225140571594,0.06779778748750687,0.26642149686813354,0.17223502695560455
22,0.9301100373268127,0.049345869570970535,0.27040594816207886,0.15534496307373047,0.9195848703384399,0.06539374589920044,0.26559028029441833,0.16950513422489166
23,0.9330757856369019,0.04856152832508087,0.26994502544403076,0.1543799787759781,0.9196640849113464,0.06614680588245392,0.2652549147605896,0.17012669146060944
24,0.9326465129852295,0.048488132655620575,0.26949578523635864,0.1541304886341095,0.9191887378692627,0.06681233644485474,0.2649242877960205,0.17066265642642975
25,0.9357293248176575,0.046116530895233154,0.2690378725528717,0.151579350233078,0.9199017882347107,0.0686977431178093,0.26442843675613403,0.17235367000102997
26,0.9359634518623352,0.04594453424215317,0.26840654015541077,0.15115994215011597,0.9198225140571594,0.06783495098352432,0.2631618082523346,0.170994371175766
27,0.936782956123352,0.04486154019832611,0.26716816425323486,0.14959147572517395,0.9195055961608887,0.06865719705820084,0.26186755299568176,0.17130927741527557
28,0.939163327217102,0.043630361557006836,0.26640748977661133,0.1480621099472046,0.9200602173805237,0.06688634306192398,0.2608058750629425,0.16912226378917694
29,0.9414656758308411,0.04321159049868584,0.26594096422195435,0.14746041595935822,0.9193471670150757,0.06729809194803238,0.26039639115333557,0.16937348246574402
30,0.9427144527435303,0.0418744720518589,0.26536306738853455,0.145896777510643,0.9199810028076172,0.069850854575634,0.2602534294128418,0.1718701869249344
31,0.9436509609222412,0.04118463024497032,0.26504164934158325,0.14508093893527985,0.9202186465263367,0.06868844479322433,0.2596462368965149,0.17046977579593658
32,0.9452118873596191,0.040497779846191406,0.2647910416126251,0.14429588615894318,0.9203771352767944,0.068776935338974,0.2594090402126312,0.17046530544757843
33,0.9469678997993469,0.03938159719109535,0.2643287181854248,0.14299844205379486,0.9192679524421692,0.06943799555301666,0.2586557865142822,0.17083106935024261
34,0.9493873119354248,0.03875312581658363,0.26366713643074036,0.1421106457710266,0.9199017882347107,0.06977105140686035,0.2577434182167053,0.17080646753311157
35,0.949933648109436,0.037924874573946,0.2628113031387329,0.1409468948841095,0.9195848703384399,0.07043366879224777,0.2564254701137543,0.1709524542093277
36,0.9507921934127808,0.037125639617443085,0.26203444600105286,0.1398431658744812,0.9202186465263367,0.06968369334936142,0.25547558069229126,0.16983012855052948
37,0.9520409107208252,0.03681277483701706,0.2616916000843048,0.1393958330154419,0.9195055961608887,0.071267269551754,0.255440890789032,0.17140009999275208
38,0.953874945640564,0.03613880276679993,0.261194109916687,0.13852690160274506,0.9198225140571594,0.06972723454236984,0.2550361156463623,0.16970136761665344
39,0.9567236304283142,0.03468893840909004,0.2611505687236786,0.1370599865913391,0.9194263815879822,0.07009515166282654,0.25498446822166443,0.1700490564107895
40,0.9556310176849365,0.03507547825574875,0.2608533203601837,0.13733002543449402,0.9191887378692627,0.07274837791919708,0.2546989917755127,0.17259034514427185
41,0.9572309255599976,0.03408745676279068,0.26070982217788696,0.1362857222557068,0.9195848703384399,0.07157410681247711,0.254494845867157,0.1713360846042633
42,0.9588308930397034,0.03370874375104904,0.26038360595703125,0.13577908277511597,0.9194263815879822,0.070268414914608,0.2541814148426056,0.1699075549840927
43,0.959104061126709,0.033231914043426514,0.26022547483444214,0.1352403312921524,0.9195848703384399,0.07205032557249069,0.25406476855278015,0.17164374887943268
44,0.9609380960464478,0.03238435834646225,0.2600735127925873,0.13433316349983215,0.9197432994842529,0.07283664494752884,0.2537385821342468,0.17230217158794403
