epoch,Efficient_CapsNet_accuracy,Efficient_CapsNet_loss,Generator_loss,loss,val_Efficient_CapsNet_accuracy,val_Efficient_CapsNet_loss,val_Generator_loss,val_loss
0,0.7502765655517578,0.23570455610752106,0.5664766430854797,0.4577634334564209,0.7533186078071594,0.19092153012752533,0.45102813839912415,0.36772456765174866
1,0.7848451137542725,0.13336323201656342,0.4129880368709564,0.29525455832481384,0.7533186078071594,0.14454954862594604,0.4090968370437622,0.30491554737091064
2,0.8296459913253784,0.102780282497406,0.40939125418663025,0.2632616460323334,0.7710176706314087,0.12841728329658508,0.40853747725486755,0.28856396675109863
3,0.8899336457252502,0.08217107504606247,0.40924271941185,0.24259419739246368,0.7831858396530151,0.15880851447582245,0.4090365469455719,0.31915083527565
4,0.9009955525398254,0.07021620124578476,0.4091959297657013,0.23062098026275635,0.7964601516723633,0.1568053811788559,0.4091506600379944,0.317192405462265
5,0.908738911151886,0.062487829476594925,0.4091452956199646,0.222872793674469,0.8285398483276367,0.1359156370162964,0.4090850353240967,0.29627692699432373
6,0.923949122428894,0.05596952512860298,0.4091261327266693,0.21634697914123535,0.8362832069396973,0.13228365778923035,0.4091045558452606,0.2926526367664337
7,0.9366703629493713,0.0496087484061718,0.40909457206726074,0.20997385680675507,0.88606196641922,0.1197906956076622,0.4087170660495758,0.2800077795982361
8,0.9363937973976135,0.04884348437190056,0.4089847803115845,0.20916549861431122,0.8938053250312805,0.10857396572828293,0.4088740944862366,0.2688525915145874
9,0.9469026327133179,0.042645517736673355,0.40883511304855347,0.20290885865688324,0.9280973672866821,0.10893436521291733,0.40842825174331665,0.26903823018074036
10,0.9491150379180908,0.04097466915845871,0.4087598919868469,0.20120857656002045,0.9159291982650757,0.10849033296108246,0.40869444608688354,0.2686985433101654
11,0.9540929198265076,0.038148798048496246,0.40859290957450867,0.19831721484661102,0.9303097128868103,0.1046929657459259,0.40855535864830017,0.26484665274620056
12,0.9565818309783936,0.034607600420713425,0.4085797667503357,0.19477088749408722,0.9303097128868103,0.09623808413743973,0.40835312008857727,0.2563125193119049
13,0.9615597128868103,0.03337191045284271,0.408430814743042,0.19347676634788513,0.9358407258987427,0.09713703393936157,0.40839502215385437,0.2572278678417206
14,0.9637721180915833,0.03173474594950676,0.4082643687725067,0.191774383187294,0.9269911646842957,0.09267812222242355,0.4083690941333771,0.25275883078575134
15,0.96875,0.030110126361250877,0.40823501348495483,0.19013826549053192,0.9380530714988708,0.09330674260854721,0.4081358313560486,0.25329598784446716
16,0.96875,0.028082694858312607,0.4080846607685089,0.18805187940597534,0.9336283206939697,0.08531686663627625,0.40803807973861694,0.24526777863502502
17,0.9728982448577881,0.026290038600564003,0.4079420268535614,0.18620334565639496,0.9369469285011292,0.08806373924016953,0.40799224376678467,0.24799668788909912
18,0.9695796370506287,0.026407603174448013,0.4078838527202606,0.18629804253578186,0.9413716793060303,0.08368299901485443,0.407748818397522,0.24352052807807922
19,0.9737278819084167,0.026136105880141258,0.4078458845615387,0.1860116720199585,0.9402654767036438,0.08654264360666275,0.4077094793319702,0.2463647574186325
20,0.9759402871131897,0.02361653558909893,0.4077547788619995,0.1834564208984375,0.9413716793060303,0.08290832489728928,0.4077111780643463,0.24273109436035156
21,0.9778761267662048,0.022887839004397392,0.4076665937900543,0.18269315361976624,0.9413716793060303,0.08978187292814255,0.4076921343803406,0.24959717690944672
22,0.9767699241638184,0.022581327706575394,0.4077067971229553,0.18240240216255188,0.9358407258987427,0.0793546810746193,0.4076244533061981,0.2391434758901596
23,0.9811946749687195,0.020954038947820663,0.40757471323013306,0.18072332441806793,0.9446902871131897,0.0876455157995224,0.4076911211013794,0.24746043980121613
24,0.980088472366333,0.020521298050880432,0.4075262248516083,0.18027158081531525,0.9413716793060303,0.07806211709976196,0.4075278341770172,0.23781302571296692
25,0.9820243120193481,0.01975882612168789,0.40753018856048584,0.17951062321662903,0.9446902871131897,0.08038673549890518,0.40767109394073486,0.24019379913806915
26,0.9836836457252502,0.019076459109783173,0.40753602981567383,0.1788306087255478,0.9424778819084167,0.07968587428331375,0.4075337052345276,0.23943908512592316
27,0.9842367172241211,0.018525458872318268,0.4074328541755676,0.1782391518354416,0.9480088353157043,0.07460930198431015,0.4074132740497589,0.23431532084941864
28,0.9831305146217346,0.018511934205889702,0.407423198223114,0.17822182178497314,0.9424778819084167,0.07951366901397705,0.4075827896595001,0.2392861247062683
29,0.9831305146217346,0.0181572325527668,0.40733760595321655,0.17783355712890625,0.9413716793060303,0.08408433198928833,0.4075584411621094,0.24384723603725433
30,0.9847898483276367,0.016946541145443916,0.40733519196510315,0.1766219586133957,0.9457964897155762,0.07944595068693161,0.4074860215187073,0.23918047547340393
31,0.9845132827758789,0.01827697828412056,0.4072776734828949,0.1779298335313797,0.9480088353157043,0.06916915625333786,0.4070853888988495,0.22874663770198822
32,0.9845132827758789,0.017415184527635574,0.4073382318019867,0.1770917773246765,0.9424778819084167,0.06671953946352005,0.4071961045265198,0.2263404130935669
33,0.9883849620819092,0.015941396355628967,0.4072679877281189,0.17559047043323517,0.9480088353157043,0.069772869348526,0.4071504473686218,0.22937583923339844
34,0.9870021939277649,0.01582358032464981,0.4072083532810211,0.17544926702976227,0.9413716793060303,0.067015640437603,0.4071406424045563,0.22661477327346802
35,0.9897676706314087,0.014919188804924488,0.40716180205345154,0.1745266318321228,0.9491150379180908,0.06417214125394821,0.4069918394088745,0.22371293604373932
36,0.9883849620819092,0.014983955770730972,0.40714743733406067,0.17458575963974,0.9424778819084167,0.0670408383011818,0.4071754217147827,0.226653590798378
37,0.9900442361831665,0.01397312618792057,0.4071701169013977,0.17358382046222687,0.9491150379180908,0.06277075409889221,0.40696942806243896,0.22230276465415955
38,0.9900442361831665,0.014258954674005508,0.40708357095718384,0.17383567988872528,0.9480088353157043,0.07009946554899216,0.4070952534675598,0.22968079149723053
39,0.9897676706314087,0.013892633840441704,0.4070495665073395,0.17345605790615082,0.9480088353157043,0.06840436905622482,0.4071115553379059,0.22799211740493774
40,0.9905973672866821,0.01356861274689436,0.4070783257484436,0.17314331233501434,0.9524336457252502,0.06633730977773666,0.4070499837398529,0.22590088844299316
41,0.9925332069396973,0.01242950838059187,0.40700146555900574,0.1719740927219391,0.9457964897155762,0.06978821009397507,0.4071248173713684,0.22938112914562225
42,0.9905973672866821,0.013720029965043068,0.4069589674472809,0.17324793338775635,0.9457964897155762,0.06928092241287231,0.40692365169525146,0.22879499197006226
