epoch,Efficient_CapsNet_accuracy,Efficient_CapsNet_loss,Generator_loss,loss,val_Efficient_CapsNet_accuracy,val_Efficient_CapsNet_loss,val_Generator_loss,val_loss
0,0.7594620585441589,0.19189776480197906,0.4897557199001312,0.38388198614120483,0.7754988670349121,0.17827893793582916,0.41202956438064575,0.3397945165634155
1,0.8316927552223206,0.10114935785531998,0.40888407826423645,0.26143190264701843,0.792682945728302,0.11942030489444733,0.4094746708869934,0.2799343764781952
2,0.9079439640045166,0.0668950006365776,0.4087354838848114,0.2271193265914917,0.8691796064376831,0.10851164907217026,0.4092096984386444,0.268921822309494
3,0.9299875497817993,0.053089793771505356,0.40862566232681274,0.21327105164527893,0.9041019678115845,0.09459041059017181,0.4091746509075165,0.25498685240745544
4,0.9409399628639221,0.04516066610813141,0.40845614671707153,0.20527546107769012,0.9268292784690857,0.0924568846821785,0.40923336148262024,0.252876341342926
5,0.9518924355506897,0.03859878331422806,0.40823912620544434,0.1986285150051117,0.9401330351829529,0.08848090469837189,0.40935733914375305,0.24894900619983673
6,0.9582697749137878,0.0348583422601223,0.4080566465854645,0.19481651484966278,0.9379157423973083,0.08485379815101624,0.40896883606910706,0.24516957998275757
7,0.9593788981437683,0.03368847444653511,0.4078405201435089,0.19356197118759155,0.936252772808075,0.08968483656644821,0.40945255756378174,0.25019025802612305
8,0.9635380506515503,0.03086898848414421,0.40762701630592346,0.19065876305103302,0.9434589743614197,0.0863245278596878,0.4090624749660492,0.24667704105377197
9,0.9660335779190063,0.028738610446453094,0.4074273705482483,0.18845011293888092,0.9434589743614197,0.07936364412307739,0.4087316393852234,0.23958642780780792
10,0.9674199223518372,0.026776671409606934,0.4072898328304291,0.18643425405025482,0.9462305903434753,0.08065839856863022,0.4088774621486664,0.24093835055828094
11,0.9643698930740356,0.030354201793670654,0.40721309185028076,0.18998172879219055,0.9467849135398865,0.055943578481674194,0.4081921875476837,0.21595492959022522
12,0.9714404344558716,0.025621682405471802,0.4071405529975891,0.18522079288959503,0.9495565295219421,0.06449616700410843,0.4084659218788147,0.22461479902267456
13,0.972549557685852,0.023729920387268066,0.40702998638153076,0.1832856684923172,0.9395787119865417,0.07532338798046112,0.4086005985736847,0.23549480736255646
14,0.9740746021270752,0.02301601693034172,0.40698614716529846,0.18255457282066345,0.9501108527183533,0.06426306813955307,0.4082903563976288,0.22431287169456482
15,0.9765700697898865,0.02089311182498932,0.40692955255508423,0.1804094761610031,0.9501108527183533,0.0660131648182869,0.4080694615840912,0.22597636282444
16,0.9782337546348572,0.019817069172859192,0.4068208932876587,0.17929086089134216,0.9556540846824646,0.06629858165979385,0.4082694947719574,0.22634021937847137
17,0.9803133010864258,0.018728645518422127,0.4067031741142273,0.1781562864780426,0.9562084078788757,0.06144300475716591,0.4080381989479065,0.22139397263526917
18,0.9797587394714355,0.018541967496275902,0.40668511390686035,0.1779625117778778,0.9556540846824646,0.05719383805990219,0.40823280811309814,0.21722109615802765
19,0.9828088283538818,0.017192352563142776,0.4066322147846222,0.17659218609333038,0.9578713774681091,0.05819270387291908,0.4082617461681366,0.21823133528232574
20,0.9858588576316833,0.015747979283332825,0.40654200315475464,0.17511245608329773,0.9556540846824646,0.05844353884458542,0.40813928842544556,0.218434140086174
21,0.9848883748054504,0.015863174572587013,0.40647292137145996,0.17520056664943695,0.9606429934501648,0.06133414804935455,0.4082384407520294,0.2213636040687561
